day,field,our_value,excel_cell,excel_value,drift,verdict
256,wind_promille,1.915605270734196,C412,1.9156052707341962,1.1591354874479334e-16,PASS_COSMETIC
256,solar_promille,2.1584320743014387,D412,2.1584320743014387,0.0,EXACT
256,heizung_abwaerm_promille,-2.386506681993775,E412,-2.386506681993775,0.0,EXACT
256,verbrauch_promille,2.8691948653018313,F412,2.8691948653018313,0.0,EXACT
257,wind_promille,0.4481252826015394,C413,0.44812528260153944,1.2387417846409885e-16,PASS_COSMETIC
257,solar_promille,3.9834071515862624,D413,3.9834071515862624,0.0,EXACT
257,heizung_abwaerm_promille,-2.3694262917056172,E413,-2.3694262917056172,0.0,EXACT
257,verbrauch_promille,2.7743497865267703,F413,2.7743497865267703,0.0,EXACT
258,wind_promille,1.1500254849217324,C414,1.1500254849217324,0.0,EXACT
258,solar_promille,4.750938476917017,D414,4.750938476917017,0.0,EXACT
258,heizung_abwaerm_promille,-2.3694262917056212,E414,-2.3694262917056212,0.0,EXACT
258,verbrauch_promille,2.7050487240147723,F414,2.7050487240147723,0.0,EXACT
259,wind_promille,0.8888051469659767,C415,0.8888051469659767,0.0,EXACT
259,solar_promille,4.572351878997998,D415,4.572351878997998,0.0,EXACT
259,heizung_abwaerm_promille,-2.301225730287442,E415,-2.301225730287442,0.0,EXACT
259,verbrauch_promille,2.316646833074123,F415,2.316646833074123,0.0,EXACT
260,wind_promille,1.041705014830885,C416,1.041705014830885,0.0,EXACT
260,solar_promille,4.004136195594299,D416,4.004136195594299,0.0,EXACT
260,heizung_abwaerm_promille,-2.2330251688692626,E416,-2.2330251688692626,0.0,EXACT
260,verbrauch_promille,2.1617751732713373,F416,2.1617751732713373,0.0,EXACT
261,wind_promille,3.590949108554786,C417,3.590949108554786,0.0,EXACT
261,solar_promille,2.188615915893054,D417,2.1886159158930534,2.0290869979754042e-16,PASS_COSMETIC
261,heizung_abwaerm_promille,-2.1648246074510835,E417,-2.1648246074510835,0.0,EXACT
261,verbrauch_promille,2.800366293895546,F417,2.800366293895546,0.0,EXACT
262,wind_promille,4.5530296092846365,C418,4.5530296092846365,0.0,EXACT
262,solar_promille,3.468996462760628,D418,3.468996462760628,0.0,EXACT
262,heizung_abwaerm_promille,-2.096624046032904,E418,-2.096624046032904,0.0,EXACT
262,verbrauch_promille,2.769737399363027,F418,2.769737399363027,0.0,EXACT
263,wind_promille,3.674661751074352,C419,3.6746617510743524,1.2085172457579946e-16,PASS_COSMETIC
263,solar_promille,4.091926865162832,D419,4.091926865162832,0.0,EXACT
263,heizung_abwaerm_promille,-2.028423484614725,E419,-2.028423484614725,0.0,EXACT
263,verbrauch_promille,2.7652998065967727,F419,2.7652998065967727,0.0,EXACT
264,wind_promille,2.705009340811253,C420,2.705009340811253,0.0,EXACT
264,solar_promille,3.3793410844297993,D420,3.3793410844297993,0.0,EXACT
264,heizung_abwaerm_promille,-1.9602229231965456,E420,-1.9602229231965456,0.0,EXACT
264,verbrauch_promille,2.8491049804729203,F420,2.8491049804729203,0.0,EXACT
265,wind_promille,2.293728161859668,C421,2.293728161859668,0.0,EXACT
265,solar_promille,1.8068846866952772,D421,1.8068846866952772,0.0,EXACT
265,heizung_abwaerm_promille,-1.8920223617783665,E421,-1.8920223617783662,1.173583406891265e-16,PASS_COSMETIC
265,verbrauch_promille,2.749769324379866,F421,2.749769324379866,0.0,EXACT
266,wind_promille,2.2586215567081784,C422,2.2586215567081784,0.0,EXACT
266,solar_promille,2.91582517723525,D422,2.91582517723525,0.0,EXACT
266,heizung_abwaerm_promille,-1.8238218003601872,E422,-1.8238218003601872,0.0,EXACT
266,verbrauch_promille,2.3076296270936543,F422,2.3076296270936543,0.0,EXACT
267,wind_promille,1.4731703396357183,C423,1.4731703396357183,0.0,EXACT
267,solar_promille,4.067314519897395,D423,4.067314519897395,0.0,EXACT
267,heizung_abwaerm_promille,-1.7556212389420076,E423,-1.7556212389420076,0.0,EXACT
